id,created_at,text
941096133253836800,2017-12-14 00:02:57,"So many have read this book and loved it, so vote it for Oakton Summer Reading so the students can experience a ""Modern Classic""!"
941094052115738625,2017-12-13 23:54:41,Vote this book for Oakton Summer Reading because everyone can learn something from it. #NativeTruth https://t.co/aju0Zd1sHi
941093542541307904,2017-12-13 23:52:39,Vote this book for Oakton Summer Reading because more people need to know about the injustices that Native Americans face. #NativeTruth https://t.co/EmWfrfjKpj
